Country.Name,Country.Code,Indicator.Name,Indicator.Code,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018,X2019,X2020,X2021
Burundi,BDI,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,74.13,76.396,77.095,77.785,75.554,76.888,75.781,73.976,75.241,78.845,81.409,80.58,82.256,83.894,83.545,80.494,77.066,74.299,71.732,74.853,75.944,73.442,70.097,65.349,62.042,60.503,58.393,56.593,56.272,54.856,54.36,53.621
Burundi,BDI,Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,120000,130000,150000,150000,160000,160000,150000,150000,140000,140000,130000,130000,120000,120000,110000,110000,1.00E+05,1.00E+05,97000,95000,92000,90000,89000,87000,85000,84000,83000,82000,81000,81000,80000,80000
Burundi,BDI,Adults (ages 15+) and children (ages 0-14) newly infected with HIV,SH.HIV.INCD.TL,28000,26000,24000,22000,19000,16000,14000,13000,12000,11000,9400,8700,7800,7200,6500,5800,5400,5200,4700,4700,4100,3800,3500,3100,2900,2600,2200,1900,1700,1600,1500,1600
Burundi,BDI,Adults (ages 15+) living with HIV,SH.DYN.AIDS,110000,120000,130000,130000,130000,130000,130000,120000,120000,110000,110000,100000,96000,91000,87000,84000,81000,78000,76000,75000,74000,73000,73000,72000,72000,72000,72000,72000,72000,72000,72000,72000
Burundi,BDI,Adults (ages 15-49) newly infected with HIV,SH.HIV.INCD,20000,19000,17000,14000,11000,9600,8000,6900,6200,5500,4700,4300,3800,3400,3100,2800,2600,2600,2400,2500,2300,2200,2000,1800,1700,1600,1400,1200,1000,1000,1000,1000
Burundi,BDI,Age dependency ratio (% of working-age population),SP.POP.DPND,105.50654,106.3904061,105.9535964,115.2495246,115.8875612,106.6783973,108.759473,110.1062615,107.6234258,104.5754042,102.550157,100.2942584,98.16375652,96.11990651,93.87377139,92.3168261,91.4692788,90.93592529,90.12360168,89.28692749,89.41632259,90.40386457,91.53057809,92.72357484,93.9142395,96.37657507,99.20837911,100.3234634,99.72481404,98.21220997,96.80002976,95.19677277
Burundi,BDI,"Age dependency ratio, old",SP.POP.DPND.OL,5.885302465,5.769703239,5.608468682,5.764777815,5.697917838,5.328441801,5.264688209,5.224085463,5.115779211,5.004238692,4.923795535,4.844777835,4.77677829,4.714872286,4.6468735,4.591632761,4.550069668,4.514288694,4.47395504,4.433874612,4.408836518,4.39904594,4.394957214,4.398742896,4.393011122,4.467885721,4.618963932,4.731997436,4.801730912,4.841718506,4.854509181,4.833429263
Burundi,BDI,"Age dependency ratio, young",SP.POP.DPND.YG,99.62123753,100.6207028,100.3451277,109.4847468,110.1896433,101.3499555,103.4947848,104.882176,102.5076465,99.57116551,97.62636146,95.44948058,93.38697823,91.40503423,89.22689789,87.72519334,86.91920913,86.42163659,85.64964664,84.85305288,85.00748608,86.00481863,87.13562087,88.32483194,89.52122838,91.90868935,94.58941518,95.59146601,94.92308313,93.37049147,91.94552058,90.3633435
Burundi,BDI,AIDS estimated deaths (UNAIDS estimates),SH.DYN.AIDS.DH,5800,7000,8200,9200,10000,11000,11000,12000,12000,12000,12000,12000,12000,12000,11000,10000,9100,8500,7600,6600,5700,4900,4300,3900,3600,3200,2700,2300,2000,1700,1500,1400
Burundi,BDI,Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,3,6,8,11,15,19,25,29,33,38,43,50,63,73,81,89,91,93
Burundi,BDI,Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),SH.HIV.PMTC.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,3,5,13,16,16,23,25,43,45,47,54,62,71,83,78,75,69,62,50
Burundi,BDI,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,46.545,46.128,45.702,46.026,39.132,44.504,43.858,41.867,41.346,42.005,42.473,42.882,43.807,44.485,45.297,46.03,46.38,46.525,46.562,46.681,46.691,45.583,44.413,43.402,42.356,41.321,39.479,38.124,37.011,36.323,35.603,34.842
Burundi,BDI,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.2,NA,NA,NA,NA,31.8,NA,NA,NA,NA,60.3,NA,78.4,NA,NA,NA,NA,85.1,NA,NA,NA,NA
Burundi,BDI,Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02578345,0.06352407,0.50329238,NA,NA,NA,0.10800407,0.42581898,0.45808989,0.50633717,0.82893944,0.09365737,0.09443311,0.41067103,NA,0.23678015,NA,NA,NA
Burundi,BDI,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.77750205,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.53015843,NA,NA,NA,NA,54.48430231,NA,NA,NA,51.1748058,NA,NA
Burundi,BDI,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.93176564,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.7279797,NA,NA,NA,NA,33.59066288,NA,NA,NA,36.76389058,NA,NA
Burundi,BDI,Children (0-14) living with HIV,SH.HIV.0014,13000,15000,18000,21000,23000,25000,26000,27000,28000,29000,29000,29000,29000,28000,27000,26000,24000,23000,21000,20000,18000,17000,16000,15000,13000,12000,11000,10000,9500,8800,8200,7800
Burundi,BDI,Children (ages 0-14) newly infected with HIV,SH.HIV.INCD.14,5800,6200,6500,6500,6400,6100,5800,5500,5100,4800,4400,4200,3800,3500,3200,2800,2600,2500,2200,2100,1600,1500,1400,1200,1000,940,680,720,750,710,760,880
Burundi,BDI,Children orphaned by HIV/AIDS,SH.HIV.ORPH,17000,24000,32000,41000,52000,63000,74000,85000,95000,1.00E+05,110000,120000,130000,130000,140000,140000,140000,140000,140000,130000,130000,120000,120000,110000,110000,110000,1.00E+05,94000,87000,80000,72000,64000
Burundi,BDI,"Community health workers (per 1,000 people)",SH.MED.CMHW.P3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Burundi,BDI,"Condom use at last high-risk sex, adult female (% ages 15-49)",SH.CON.AIDS.FE.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.6,NA,NA,NA,NA,NA,NA,29.4,NA,NA,NA,NA
Burundi,BDI,"Condom use at last high-risk sex, adult male (% ages 15-49)",SH.CON.AIDS.MA.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.4,NA,NA,NA,NA,NA,NA,53.4,NA,NA,NA,NA
Burundi,BDI,"Condom use, population ages 15-24, female (% of females ages 15-24)",SH.CON.1524.FE.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Burundi,BDI,"Condom use, population ages 15-24, male (% of males ages 15-24)",SH.CON.1524.MA.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
