Country.Name,Country.Code,Year,NY.GNP.PCAP.CD,SE.ADT.1524.LT.MA.ZS,SE.ADT.1524.LT.ZS,SE.ADT.LITR.FE.ZS,SE.ADT.LITR.MA.ZS,SE.ADT.LITR.ZS,SE.PRM.ENRR,SE.PRM.ENRR.FE,SE.PRM.ENRR.MA,SE.PRM.NENR,SE.PRM.NENR.FE,SE.PRM.NENR.MA,SE.SEC.ENRR,SE.SEC.ENRR.FE,SE.SEC.ENRR.MA,SE.SEC.NENR,SE.SEC.NENR.FE,SE.SEC.NENR.MA,SE.TER.ENRR,SE.TER.ENRR.FE,SE.XPD.TOTL.GD.ZS,SH.ALC.PCAP.FE.LI,SH.ALC.PCAP.LI,SH.ALC.PCAP.MA.LI,SH.CON.1524.FE.ZS,SH.CON.1524.MA.ZS,SH.CON.AIDS.FE.ZS,SH.CON.AIDS.MA.ZS,SH.DTH.0509,SH.DTH.0509.FE,SH.DTH.0509.MA,SH.DTH.1014,SH.DTH.1014.FE,SH.DTH.1014.MA,SH.DTH.1019,SH.DTH.1019.FE,SH.DTH.1019.MA,SH.DTH.1519,SH.DTH.1519.FE,SH.DTH.1519.MA,SH.DTH.2024,SH.DTH.2024.FE,SH.DTH.2024.MA,SH.DTH.COMM.ZS,SH.DTH.NCOM.ZS,SH.DYN.AIDS,SH.DYN.AIDS.DH,SH.DYN.AIDS.FE.ZS,SH.DYN.AIDS.ZS,SH.FPL.SATI.ZS,SH.FPL.SATM.ZS,SH.HIV.0014,SH.HIV.1524.FE.ZS,SH.HIV.1524.MA.ZS,SH.HIV.ARTC.ZS,SH.HIV.INCD,SH.HIV.INCD.14,SH.HIV.INCD.50.P3,SH.HIV.INCD.TL,SH.HIV.INCD.TL.P3,SH.HIV.INCD.YG,SH.HIV.INCD.YG.P3,SH.HIV.INCD.ZS,SH.HIV.ORPH,SH.HIV.PMTC.ZS,SH.HIV.TOTL,SH.MED.BEDS.ZS,SH.MED.CMHW.P3,SH.MED.PHYS.ZS,SH.MED.SAOP.P5,SH.SGR.PROC.P5,SH.STA.BRTC.ZS,SH.STA.HYGN.RU.ZS,SH.STA.HYGN.UR.ZS,SH.STA.HYGN.ZS,SH.STA.ODFC.RU.ZS,SH.STA.ODFC.UR.ZS,SH.STA.ODFC.ZS,SH.STA.SUIC.FE.P5,SH.STA.SUIC.MA.P5,SH.STA.SUIC.P5,SH.UHC.OOPC.10.ZS,SH.UHC.OOPC.25.ZS,SH.UHC.SRVS.CV.XD,SH.XPD.CHEX.GD.ZS,SH.XPD.CHEX.PC.CD,SH.XPD.CHEX.PP.CD,SH.XPD.EHEX.CH.ZS,SH.XPD.EHEX.EH.ZS,SH.XPD.EHEX.PC.CD,SH.XPD.EHEX.PP.CD,SH.XPD.GHED.CH.ZS,SH.XPD.GHED.GD.ZS,SH.XPD.GHED.GE.ZS,SH.XPD.GHED.PC.CD,SH.XPD.GHED.PP.CD,SH.XPD.KHEX.GD.ZS,SH.XPD.OOPC.CH.ZS,SH.XPD.OOPC.PC.CD,SH.XPD.OOPC.PP.CD,SH.XPD.PVTD.CH.ZS,SH.XPD.PVTD.PC.CD,SH.XPD.PVTD.PP.CD,SI.POV.NAHC,SL.UEM.TOTL.FE.ZS,SL.UEM.TOTL.MA.ZS,SL.UEM.TOTL.ZS,SP.ADO.TFRT,SP.DYN.AMRT.FE,SP.DYN.AMRT.MA,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SP.DYN.CONM.AL.ZS,SP.DYN.CONM.SA.ZS,SP.DYN.CONM.ZS,SP.DYN.CONU.AL.ZS,SP.DYN.CONU.SA.ZS,SP.DYN.CONU.ZS,SP.DYN.LE00.FE.IN,SP.DYN.LE00.IN,SP.DYN.LE00.MA.IN,SP.DYN.TFRT.IN,SP.DYN.TO65.FE.ZS,SP.DYN.TO65.MA.ZS,SP.DYN.WFRT,SP.HOU.FEMA.ZS,SP.M15.2024.FE.ZS,SP.M18.2024.FE.ZS,SP.MTR.1519.ZS,SP.POP.0004.FE,SP.POP.0004.FE.5Y,SP.POP.0004.MA,SP.POP.0004.MA.5Y,SP.POP.0014.FE.IN,SP.POP.0014.FE.ZS,SP.POP.0014.MA.IN,SP.POP.0014.MA.ZS,SP.POP.0014.TO,SP.POP.0014.TO.ZS,SP.POP.0509.FE,SP.POP.0509.FE.5Y,SP.POP.0509.MA,SP.POP.0509.MA.5Y,SP.POP.1014.FE,SP.POP.1014.FE.5Y,SP.POP.1014.MA,SP.POP.1014.MA.5Y,SP.POP.1519.FE,SP.POP.1519.FE.5Y,SP.POP.1519.MA,SP.POP.1519.MA.5Y,SP.POP.1564.FE.IN,SP.POP.1564.FE.ZS,SP.POP.1564.MA.IN,SP.POP.1564.MA.ZS,SP.POP.1564.TO,SP.POP.1564.TO.ZS,SP.POP.2024.FE,SP.POP.2024.FE.5Y,SP.POP.2024.MA,SP.POP.2024.MA.5Y,SP.POP.2529.FE,SP.POP.2529.FE.5Y,SP.POP.2529.MA,SP.POP.2529.MA.5Y,SP.POP.3034.FE,SP.POP.3034.FE.5Y,SP.POP.3034.MA,SP.POP.3034.MA.5Y,SP.POP.3539.FE,SP.POP.3539.FE.5Y,SP.POP.3539.MA,SP.POP.3539.MA.5Y,SP.POP.4044.FE,SP.POP.4044.FE.5Y,SP.POP.4044.MA,SP.POP.4044.MA.5Y,SP.POP.4549.FE,SP.POP.4549.FE.5Y,SP.POP.4549.MA,SP.POP.4549.MA.5Y,SP.POP.5054.FE,SP.POP.5054.FE.5Y,SP.POP.5054.MA,SP.POP.5054.MA.5Y,SP.POP.5559.FE,SP.POP.5559.FE.5Y,SP.POP.5559.MA,SP.POP.5559.MA.5Y,SP.POP.6064.FE,SP.POP.6064.FE.5Y,SP.POP.6064.MA,SP.POP.6064.MA.5Y,SP.POP.6569.FE,SP.POP.6569.FE.5Y,SP.POP.6569.MA,SP.POP.6569.MA.5Y,SP.POP.65UP.FE.IN,SP.POP.65UP.FE.ZS,SP.POP.65UP.MA.IN,SP.POP.65UP.MA.ZS,SP.POP.65UP.TO,SP.POP.65UP.TO.ZS,SP.POP.7074.FE,SP.POP.7074.FE.5Y,SP.POP.7074.MA,SP.POP.7074.MA.5Y,SP.POP.7579.FE,SP.POP.7579.FE.5Y,SP.POP.7579.MA,SP.POP.7579.MA.5Y,SP.POP.80UP.FE,SP.POP.80UP.FE.5Y,SP.POP.80UP.MA,SP.POP.80UP.MA.5Y,SP.POP.BRTH.MF,SP.POP.DPND,SP.POP.DPND.OL,SP.POP.DPND.YG,SP.POP.GROW,SP.POP.TOTL,SP.POP.TOTL.FE.IN,SP.POP.TOTL.FE.ZS,SP.POP.TOTL.MA.IN,SP.POP.TOTL.MA.ZS,SP.RUR.TOTL,SP.RUR.TOTL.ZG,SP.RUR.TOTL.ZS,SP.URB.GROW,SP.URB.TOTL,SP.URB.TOTL.IN.ZS,SP.UWT.TFRT
Burundi,BDI,1990,220,59.49784088,53.55521011,27.52930069,48.23625183,37.38471985,64.22926331,57.30242157,71.15055847,,,,4.720829964,3.61461997,5.829589844,,,,0.693710029,0.409429997,3.359329939,,,,,,,,7273,3507,3766,2811,1415,1396,6191,3446,2745,3380,2031,1349,4260,2415,1845,,,110000,5800,51.7,4.2,,,13000,3.8,1.7,,20000,5800,2.92,28000,5.27,7800,8.49,9.2,17000,,120000,,,0.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.13,424.645,508.475,46.545,19.067,,,,,,,46.711,44.86,43.011,7.365,37.318696,29.722483,,,,,,535632,19.2189527,539662,20.01125782,1326703,47.60325748,1331617,49.37781631,2658320,48.47594097,445878,15.99850233,447307,16.58665184,345192,12.38580245,344648,12.77990664,281465,10.09922313,280877,10.41522668,1367987,49.08456275,1300440,48.22173901,2668427,48.66024769,231592,8.309737185,230146,8.53406566,186701,6.69899173,183252,6.795184797,160489,5.758500668,155524,5.767018739,139531,5.006509684,133620,4.954775897,102693,3.684712764,93304,3.459814476,86546,3.10536252,75812,2.811210505,71963,2.582111994,61462,2.279096794,58861,2.112001016,48503,1.798525804,48143,1.727412059,37939,1.406819658,38224,1.371509847,28788,1.067490559,92310,3.312179775,64735,2.400444676,157045,2.863811338,27274,0.978632412,19351,0.717574807,16319,0.585557632,10898,0.404091231,10492,0.376479883,5698,0.211288079,1.024,105.50654,5.885302465,99.62123753,2.02808888,5483793,2787001,50.82250552,2696792,49.17749448,5139904,1.789371435,93.729,5.665683878,343889,6.271,
Burundi,BDI,1991,220,,,,,,65.35971832,59.67679977,71.03565979,,,,5.334080219,3.924240112,6.747149944,,,,0.770449996,0.409260005,3.493659973,,,,,,,,7785,3731,4054,3108,1560,1548,6729,3732,2997,3621,2172,1449,4473,2537,1936,,,120000,7000,52.5,4.7,,,15000,4.1,1.7,,19000,6200,2.64,26000,4.88,7100,7.7,8.32,24000,,130000,0.663100004,,0.059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.237,3.026,2.616,76.396,439.779,518.818,46.128,19.393,,,,,,,45.903,44.227,42.539,7.336,35.855338,28.896529,,,,,,543320,19.11301104,547291,19.88590759,1361141,47.88242477,1366484,49.65140045,2727624,48.75260251,457032,16.07754109,458791,16.67024568,360788,12.69187263,360402,13.09524718,287460,10.11232912,286834,10.42216009,1389375,48.87564471,1321424,48.01413801,2710798,48.4518605,236539,8.321004857,235081,8.541724576,188774,6.640720434,185402,6.736611855,160482,5.645460163,155549,5.65189824,140060,4.927069535,134127,4.873526382,107370,3.777095752,98528,3.580049089,87737,3.086443097,76722,2.787706361,73067,2.570379609,62202,2.260119797,59575,2.095755985,48994,1.780186799,48308,1.699386159,37984,1.380154824,38177,1.343013892,28679,1.042037967,92157,3.241930528,64248,2.33446154,156405,2.795536986,27246,0.958463925,19229,0.698688846,16298,0.573333519,10759,0.390948184,10436,0.367119193,5581,0.202786544,1.024,106.3904061,5.769703239,100.6207028,2.004558474,5594828,2842673,50.80894355,2752155,49.19105645,5233682,1.808064342,93.545,4.896337782,361146,6.455,
Burundi,BDI,1992,210,,,,,,62.74768066,56.48934174,68.99359894,,,,5.686299801,4.29666996,7.079100132,,,,0.802900016,0.423429996,3.805850029,,,,,,,,8195,3907,4288,3415,1711,1704,7297,4027,3270,3882,2316,1566,4701,2661,2040,,,130000,8200,53.1,5,,,18000,4.1,1.6,,17000,6500,2.36,24000,4.45,6400,6.86,7.4,32000,,150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.277,3.132,2.689,77.095,450.986,518.45,45.702,19.519,,,,,,,45.285,43.895,42.474,7.301,34.756892,28.822781,,,,,,551945,18.92471765,555710,19.66029001,1396103,47.86866365,1402055,49.60290926,2798157,48.72220244,465274,15.95301535,467609,16.5434249,378884,12.99093065,378736,13.39919436,296166,10.15473198,295336,10.44860923,1428276,48.97179076,1360258,48.12416727,2788533,48.55461829,245697,8.424283403,244028,8.633380246,194746,6.677325463,191376,6.770619955,163195,5.595542232,158384,5.603422962,142239,4.876982109,136402,4.82574566,112988,3.874059798,104814,3.708167319,89370,3.06426102,78279,2.769393021,74516,2.554956632,63375,2.242126289,60647,2.079442433,49910,1.765769533,48712,1.670205693,38355,1.356933061,38194,1.309554138,28705,1.015546117,92149,3.159545583,64245,2.272923464,156394,2.723179267,27221,0.933336122,19234,0.680456584,16289,0.558506744,10684,0.37796854,10446,0.358148579,5624,0.198952224,1.024,105.9535964,5.608468682,100.3451277,2.615392284,5743085,2916527,50.78328111,2826558,49.21671889,5361916,2.420632822,93.363,5.396053763,381169,6.637,
Burundi,BDI,1993,190,,,,,,62.58546829,56.39934158,68.7522583,49.06123,45.17336,52.94264,6.278309822,4.860919952,7.699960232,5.05246,4.01448,6.10743,0.847079992,0.446949989,,,,,,,,,13037,5949,7088,7978,3566,4412,15566,7400,8166,7588,3834,3754,8339,4088,4251,,,130000,9200,53.7,5.1,,,21000,3.9,1.4,,14000,6500,2,22000,3.89,5500,5.77,6.23,41000,,150000,,,0.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.356,3.307,2.812,77.785,567.835,660.79,46.026,24.9,,,,,,,39.343,37.105,34.984,7.272,25.136744,18.113392,,,,,,550712,19.50459298,554045,20.28186601,1409835,49.93223827,1415779,51.82729877,2825613,50.86411519,468126,16.57963805,470636,17.22851892,390998,13.84800725,391099,14.31691385,287769,10.19193755,288199,10.55007946,1324967,46.92646157,1255861,45.97321069,2580828,46.45771005,220895,7.823438067,220718,8.079807491,170742,6.047165279,167892,6.145991715,143824,5.093808333,138739,5.078790002,129390,4.582598208,122737,4.493024276,108834,3.854564721,100302,3.671747891,84747,3.001491236,72863,2.667290449,72006,2.550242226,59907,2.192992812,59250,2.098444252,47801,1.749829366,47513,1.682771698,36705,1.343657219,37078,1.313176765,27290,0.99900301,88695,3.141300157,60084,2.199490541,148779,2.678174762,26384,0.934426517,18230,0.667344261,15705,0.556207525,9872,0.361383573,9529,0.337489351,4692,0.171759697,1.023,115.2495246,5.764777815,109.4847468,-3.325849613,5555220,2823497,50.82601589,2731724,49.17400211,5176187,-3.525268906,93.177,-0.56195738,379033,6.823,
Burundi,BDI,1994,170,,,,,,,,,,,,,,,,,,,,4.565269947,,,,,,,,8556,4049,4507,3835,1917,1918,7841,4265,3576,4006,2348,1658,3873,2180,1693,,,130000,10000,54.2,5.1,,,23000,3.6,1.2,,11000,6400,1.63,19000,3.31,4500,4.67,5.04,52000,,160000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.346,3.335,2.819,75.554,444.652,517.332,39.132,18.937,,,,,,,45.583,44.08,42.521,7.23,35.335376,28.944385,,,,,,543830,19.14984384,546727,19.90601272,1422925,50.10533066,1428394,52.00701464,2851319,51.04028823,473361,16.66842438,475873,17.32627792,405734,14.28706244,405794,14.774724,299461,10.54489709,299601,10.90831671,1328993,46.79772799,1258654,45.82687976,2587647,46.3204132,220470,7.763375497,220398,8.024545046,169306,5.961759118,166462,6.060803002,139536,4.913452798,134477,4.896229513,126252,4.445684331,119366,4.34602857,111447,3.924357008,103094,3.753592699,83413,2.937197928,71459,2.601762507,72079,2.538112267,59533,2.167561974,59556,2.097140834,47767,1.739150539,47476,1.671751119,36498,1.3288892,36752,1.294145341,26891,0.979085701,87949,3.096941353,59493,2.166105598,147442,2.639298576,26093,0.91879319,17950,0.653549081,15525,0.546663021,9634,0.350750143,9580,0.337339801,5018,0.182720672,1.023,115.8875612,5.697917838,110.1896433,0.559847833,5586408,2839867,50.83529524,2746542,49.16472266,5194577,0.354651196,92.986,3.320735185,391831,7.014,
Burundi,BDI,1995,150,,,,,,49.02851868,43.60768127,54.42844009,,,,,,,,,,,,5.015110016,,,,,,,,8792,4151,4641,4079,2036,2043,8718,4749,3969,4639,2713,1926,4953,2804,2149,,,130000,11000,54.5,4.9,,,25000,3.2,1.1,,9600,6100,1.36,16000,2.87,3900,3.89,4.18,63000,,160000,,,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.382,3.444,2.892,76.888,438.446,522.927,44.504,18.823,,,,,,,45.862,44.059,42.257,7.184,35.878027,28.51402,,,,,,545234,18.0966841,547963,18.76655564,1451843,48.18764812,1457447,49.91447447,2909290,49.0375259,483208,16.03799934,485897,16.64094365,423401,14.05296468,423588,14.50697518,329990,10.95259061,328513,11.2508577,1470661,48.81224683,1399877,47.94282384,2870539,48.38435014,252443,8.378769983,250794,8.589146469,196949,6.536870109,193555,6.628849013,156677,5.200215275,152026,5.206551552,136808,4.540766363,130571,4.471780344,121049,4.017714527,113534,3.888299159,89521,2.971278948,78483,2.687859485,75856,2.517711788,63518,2.175339915,62271,2.066833074,50599,1.732891513,49095,1.629496154,38287,1.3112487,37557,1.246542154,27883,0.9549166,90390,3.000105048,62565,2.142701682,152955,2.57812396,26572,0.881942597,18623,0.637781203,15890,0.52741641,10112,0.346314594,10370,0.344203888,5948,0.203689285,1.023,106.6783973,5.328441801,101.3499555,6.015690692,5932783,3012894,50.7838227,2919889,49.2161773,5504970,5.803612378,92.789,8.785555984,427813,7.211,
Burundi,BDI,1996,150,,,,,,38.83504105,35.64265823,42.01303101,,,,,,,,,,,,4.083240032,,,,,,,,8805,4150,4655,4172,2079,2093,8877,4802,4075,4705,2723,1982,4792,2712,2080,,,130000,11000,54.7,4.7,,,26000,2.8,0.9,,8000,5800,1.12,14000,2.5,3300,3.21,3.46,74000,,150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.395,3.517,2.933,75.781,429.813,520.728,43.858,18.599,,,,,,,46.321,44.373,42.435,7.123,36.697735,28.829255,,,,,,546757,18.15050315,549429,18.82794195,1467040,48.70086434,1473073,50.47957487,2940114,49.57609439,488563,16.21865528,491104,16.82926641,431721,14.33170592,432540,14.82236651,338278,11.22969151,337420,11.56279262,1456209,48.34131105,1384623,47.44855273,2840833,47.90202152,247988,8.232379449,246763,8.456140561,191343,6.351936645,188116,6.446396399,150619,5.000051455,145923,5.000535441,131355,4.360567119,124878,4.279344072,118002,3.91727519,110107,3.773185649,91616,3.041364065,80696,2.765323667,75520,2.50701363,62640,2.146577078,62356,2.07002907,50123,1.71764204,49131,1.631002915,37954,1.3006152,37317,1.238784085,27424,0.939788205,89100,2.957824608,60460,2.071872406,149561,2.521884092,26291,0.872790636,18212,0.624092428,15700,0.521171352,9807,0.336085355,9793,0.325078535,5016,0.171906417,1.023,108.759473,5.264688209,103.4947848,-0.038370469,5930507,3012349,50.79412266,2918157,49.20586048,5490938,-0.255222354,92.588,2.710851717,439569,7.412,
Burundi,BDI,1997,150,,,,,,40.85266113,37.39056015,44.29751968,,,,,,,,,,,,,,,,,,,,8726,4107,4619,4196,2088,2108,8784,4720,4064,4588,2632,1956,4321,2440,1881,,,120000,12000,54.9,4.5,,,27000,2.4,0.7,,6900,5500,0.95,13000,2.2,2900,2.74,2.94,85000,,150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.352,3.49,2.897,73.976,416.404,501.401,41.867,17.626,,,,,,,47.235,45.387,43.521,7.04,38.190665,30.674388,,,,,,543979,18.07545324,546501,18.75193224,1475422,49.02559999,1481688,50.8407995,2957111,49.91862572,493780,16.4074148,496058,17.0211116,437662,14.54273195,439130,15.06775566,349678,11.61916642,349459,11.99088036,1445792,48.04103216,1373669,47.13435395,2819460,47.59497267,244753,8.132715378,243958,8.370868617,186159,6.185742914,183173,6.285185575,144592,4.804530198,139892,4.800061351,125768,4.179026168,119098,4.086562134,114748,3.812851533,106491,3.653998516,93488,3.106436865,82680,2.836994904,74929,2.489738305,61608,2.113922431,62382,2.072824227,49585,1.701397455,49296,1.638000155,37726,1.294482614,37201,1.236121832,27087,0.929429321,88279,2.933367846,59011,2.024846545,147291,2.486401608,26072,0.866325325,17855,0.61265406,15559,0.517013995,9581,0.328750409,9447,0.313906695,4489,0.154012755,1.022,110.1062615,5.224085463,104.882176,-0.112110576,5923862,3009493,50.80288839,2914369,49.19711161,5472582,-0.334856272,92.382,2.629328804,451280,7.618,
Burundi,BDI,1998,150,,,,,,49.25389099,44.32107925,54.16136932,,,,,,,,,,0.894710004,0.518790007,,,,,,,,,8640,4058,4582,4218,2096,2122,8700,4641,4059,4482,2545,1937,4092,2301,1791,,,120000,12000,55,4.2,,,28000,2.1,0.7,,6200,5100,0.84,12000,1.99,2700,2.44,2.6,95000,,140000,,,,,,,,,,,,,,,,2.36,0.07,,,,,,,,,,,,,,,,,,,,,,2.307,3.46,2.859,75.241,397.209,482.385,41.346,16.646,,,,,,,48.461,46.552,44.621,6.958,40.261144,32.544883,,,,,,539953,17.61408139,542411,18.26376531,1486719,48.49897161,1493044,50.27294078,2979763,49.3719078,501273,16.35224998,503267,16.9457132,445493,14.53264024,447366,15.06346227,368359,12.01643144,368167,12.3967002,1489636,48.59411215,1417234,47.72030809,2906869,48.16412994,256636,8.371845707,255529,8.604032156,191175,6.236411115,188219,6.337589966,147005,4.795536729,142409,4.79511764,125493,4.093783488,118974,4.00602719,114641,3.739775205,106390,3.582305653,97302,3.174118772,86865,2.924887411,75572,2.465270359,62193,2.094128541,63288,2.064548119,50147,1.688522244,50163,1.636391216,38341,1.290997096,37605,1.226747002,27372,0.921654952,89110,2.906916243,59598,2.006751126,148709,2.463962262,26200,0.854699042,17922,0.603476577,15673,0.51127643,9686,0.326141673,9632,0.314193768,4617,0.155477924,1.023,107.6234258,5.115779211,102.5076465,1.864358993,6035340,3065465,50.79191893,2969875,49.20808107,5562773,1.634619063,92.17,4.609154639,472567,7.83,
Burundi,BDI,1999,140,,,,,,58.63824844,51.87942886,65.36408997,,,,,,,,,,0.948809981,0.559069991,3.417449951,,,,,,,,8304,3902,4402,4200,2082,2118,8537,4456,4081,4337,2374,1963,3986,2222,1764,,,110000,12000,55.2,3.9,,,29000,1.8,0.6,,5500,4800,0.72,11000,1.78,2500,2.11,2.23,100000,,140000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.362,3.615,2.962,78.845,385.146,462.708,42.005,15.965,,,,,,,49.319,47.528,45.699,6.897,41.645833,34.357187,,,,,,548368,17.47495715,550982,18.11155108,1500821,47.82697508,1507203,49.54387642,3008024,48.67210987,499084,15.90439774,500748,16.46028904,453370,14.44762019,455473,14.9720363,386840,12.32751077,386681,12.71074678,1546721,49.28967993,1474258,48.46092806,3020979,48.8817316,274009,8.731885882,272424,8.954958947,198282,6.318709684,195310,6.420097181,152347,4.854857614,147810,4.858721999,126397,4.027903565,120135,3.949005936,115156,3.669716146,107015,3.517733135,102079,3.252956799,91992,3.023906056,75891,2.418450221,62655,2.059574158,64461,2.054208033,51039,1.677739946,51259,1.633481218,39196,1.288443927,38212,1.217709755,27855,0.915649352,90480,2.883344986,60697,1.995195516,151177,2.446158526,26472,0.843588732,18135,0.596122884,15879,0.506019397,9881,0.324818764,9917,0.316027102,4825,0.158604517,1.023,104.5754042,5.004238692,99.57116551,2.371520627,6180180,3138022,50.77557612,3042158,49.22442388,5683541,2.147772904,91.964,4.96838682,496639,8.036,
